[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-24 13:14:06.464531 I | etcdmain: etcd Version: 3.4.3
2020-04-24 13:14:57.097332 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/calico-node-8kc9h\" " with result "range_response_count:1 size:12303" took too long (211.93255ms) to execute
2020-04-24 13:14:58.487478 W | etcdserver: request "header:<ID:9653027836254939005 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/192.168.32.2\" mod_revision:23789 > success:<request_put:<key:\"/registry/masterleases/192.168.32.2\" value_size:67 lease:429655799400163195 >> failure:<request_range:<key:\"/registry/masterleases/192.168.32.2\" > >>" with result "size:18" took too long (195.016076ms) to execute
2020-04-24 13:14:58.915461 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:603" took too long (173.905284ms) to execute
2020-04-24 13:14:58.915889 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (245.730215ms) to execute
2020-04-24 13:14:59.227551 W | etcdserver: request "header:<ID:9653027836254939014 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:23803 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:495 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (211.024556ms) to execute
2020-04-24 13:14:59.228179 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (302.443849ms) to execute
2020-04-24 13:15:01.631337 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/attachdetach-controller\" " with result "range_response_count:1 size:267" took too long (268.378007ms) to execute
2020-04-24 13:15:01.631717 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (379.549106ms) to execute
2020-04-24 13:15:01.632239 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:508" took too long (387.228059ms) to execute
2020-04-24 13:15:02.098990 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:255" took too long (309.818312ms) to execute
2020-04-24 13:15:02.099169 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:481" took too long (458.453517ms) to execute
2020-04-24 13:15:02.583258 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:261" took too long (390.998862ms) to execute
2020-04-24 13:15:04.460873 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/\" range_end:\"/registry/crd.projectcalico.org/clusterinformations0\" limit:500 " with result "range_response_count:1 size:913" took too long (196.416294ms) to execute
2020-04-24 13:15:04.461018 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-66bff467f8-bfq5l.1608c3b9c4bfe3aa\" " with result "range_response_count:1 size:777" took too long (482.973937ms) to execute
2020-04-24 13:15:04.461166 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:576" took too long (269.641664ms) to execute
2020-04-24 13:15:04.461253 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamblocks/\" range_end:\"/registry/crd.projectcalico.org/ipamblocks0\" limit:10000 " with result "range_response_count:3 size:5379" took too long (161.290232ms) to execute
2020-04-24 13:15:04.461379 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations\" range_end:\"/registry/crd.projectcalico.org/clusterinformationt\" count_only:true " with result "range_response_count:0 size:8" took too long (339.109962ms) to execute
2020-04-24 13:15:04.461592 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities/\" range_end:\"/registry/crd.projectcalico.org/blockaffinities0\" limit:10000 " with result "range_response_count:3 size:2366" took too long (364.450722ms) to execute
2020-04-24 13:15:04.461802 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities/\" range_end:\"/registry/crd.projectcalico.org/blockaffinities0\" limit:500 " with result "range_response_count:3 size:2366" took too long (350.149305ms) to execute
2020-04-24 13:15:04.461924 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities\" range_end:\"/registry/crd.projectcalico.org/blockaffinitiet\" count_only:true " with result "range_response_count:0 size:8" took too long (364.390745ms) to execute
2020-04-24 13:15:04.462019 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/networkpolicies/\" range_end:\"/registry/crd.projectcalico.org/networkpolicies0\" limit:10000 " with result "range_response_count:0 size:6" took too long (386.594463ms) to execute
2020-04-24 13:15:04.462136 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/networkpolicies\" range_end:\"/registry/crd.projectcalico.org/networkpoliciet\" count_only:true " with result "range_response_count:0 size:6" took too long (386.803545ms) to execute
2020-04-24 13:15:04.462244 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/networkpolicies/\" range_end:\"/registry/crd.projectcalico.org/networkpolicies0\" limit:500 " with result "range_response_count:0 size:6" took too long (386.926343ms) to execute
2020-04-24 13:15:04.463006 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations\" range_end:\"/registry/crd.projectcalico.org/bgpconfigurationt\" count_only:true " with result "range_response_count:0 size:6" took too long (115.443948ms) to execute
2020-04-24 13:15:04.463276 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamblocks\" range_end:\"/registry/crd.projectcalico.org/ipamblockt\" count_only:true " with result "range_response_count:0 size:8" took too long (163.142367ms) to execute
2020-04-24 13:15:04.463434 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/ipamblocks/\" range_end:\"/registry/crd.projectcalico.org/ipamblocks0\" limit:500 " with result "range_response_count:3 size:5379" took too long (155.574231ms) to execute
2020-04-24 13:15:04.463592 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgppeers\" range_end:\"/registry/crd.projectcalico.org/bgppeert\" count_only:true " with result "range_response_count:0 size:6" took too long (138.110327ms) to execute
2020-04-24 13:15:04.463812 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgppeers/\" range_end:\"/registry/crd.projectcalico.org/bgppeers0\" limit:10000 " with result "range_response_count:0 size:6" took too long (138.377901ms) to execute
2020-04-24 13:15:04.464001 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgppeers/\" range_end:\"/registry/crd.projectcalico.org/bgppeers0\" limit:500 " with result "range_response_count:0 size:6" took too long (137.696301ms) to execute
2020-04-24 13:15:04.464386 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (224.974991ms) to execute
2020-04-24 13:15:04.464677 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations/\" range_end:\"/registry/crd.projectcalico.org/bgpconfigurations0\" limit:10000 " with result "range_response_count:0 size:6" took too long (116.900834ms) to execute
2020-04-24 13:15:04.464884 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations/\" range_end:\"/registry/crd.projectcalico.org/bgpconfigurations0\" limit:500 " with result "range_response_count:0 size:6" took too long (116.092151ms) to execute
2020-04-24 13:15:04.465266 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations/\" range_end:\"/registry/crd.projectcalico.org/clusterinformations0\" limit:10000 " with result "range_response_count:1 size:913" took too long (338.763601ms) to execute
2020-04-24 13:15:05.177742 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgpconfigurations\" range_end:\"/registry/crd.projectcalico.org/bgpconfigurationt\" count_only:true " with result "range_response_count:0 size:6" took too long (706.713786ms) to execute
2020-04-24 13:15:05.178389 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/blockaffinities\" range_end:\"/registry/crd.projectcalico.org/blockaffinitiet\" count_only:true " with result "range_response_count:0 size:8" took too long (707.912125ms) to execute
2020-04-24 13:15:05.178769 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/clusterinformations\" range_end:\"/registry/crd.projectcalico.org/clusterinformationt\" count_only:true " with result "range_response_count:0 size:8" took too long (708.314466ms) to execute
2020-04-24 13:15:05.179165 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/bgppeers\" range_end:\"/registry/crd.projectcalico.org/bgppeert\" count_only:true " with result "range_response_count:0 size:6" took too long (709.333814ms) to execute
2020-04-24 13:15:05.179481 W | etcdserver: read-only range request "key:\"/registry/crd.projectcalico.org/networkpolicies\" range_end:\"/registry/crd.projectcalico.org/networkpoliciet\" count_only:true " with result "range_response_count:0 size:6" took too long (710.236513ms) to execute
